0.005,258.0
0.01,173.7
0.015,188.2
0.02,181.1
0.025,192.4
0.03,168.6
0.035,168.5
0.04,191.6
0.045,202.1
0.05,207.4
0.055,237.0
0.06,386.9
0.065,375.5
0.07,1933.6
0.075,283.2
0.08,331.3
0.085,2014.2
0.09,193.5
0.095,176.7
0.1,215.3
0.105,459.1
0.11,354.3
0.115,526.4
0.12,184.9
0.125,183.1
0.13,186.6
0.135,183.4
0.14,196.0
0.145,200.7
0.15,177.5
0.155,176.7
0.16,191.3
0.165,187.3
0.17,183.0
0.175,177.5
0.18,175.8
0.185,183.1
0.19,199.3
0.195,191.0
0.2,190.7
0.205,183.4
0.21,188.8
0.215,193.6
0.22,196.6
0.225,184.2
0.23,178.7
0.235,180.7
0.24,175.2
0.245,170.9
0.25,172.9
