0.005,256.5
0.01,175.5
0.015,175.6
0.02,178.7
0.025,176.0
0.03,176.1
0.035,176.4
0.04,174.9
0.045,175.8
0.05,173.8
0.055,176.2
0.06,179.7
0.065,176.0
0.07,175.0
0.075,176.2
0.08,176.0
0.085,177.1
0.09,183.8
0.095,182.7
0.1,194.6
0.105,207.6
0.11,221.4
0.115,198.0
0.12,197.2
0.125,216.6
0.13,225.9
0.135,228.1
0.14,211.7
0.145,416.0
0.15,295.4
0.155,189.2
0.16,184.7
0.165,184.0
0.17,181.8
0.175,191.2
0.18,188.3
0.185,187.2
0.19,203.3
0.195,180.1
0.2,179.8
0.205,182.5
0.21,187.0
0.215,197.0
0.22,196.0
0.225,179.9
0.23,178.4
0.235,176.1
0.24,179.3
0.245,182.4
0.25,178.9
