0.005,591.2
0.01,585.4
0.015,541.8
0.02,515.9
0.025,532.0
0.03,600.4
0.035,530.4
0.04,570.0
0.045,521.3
0.05,523.8
0.055,521.5
0.06,538.1
0.065,564.8
0.07,523.4
0.075,521.6
0.08,525.2
0.085,530.9
0.09,590.1
0.095,528.5
0.1,571.0
0.105,524.9
0.11,529.5
0.115,532.0
0.12,535.8
0.125,523.8
0.13,524.8
0.135,520.7
0.14,525.9
0.145,520.9
0.15,591.2
0.155,530.8
0.16,563.9
0.165,531.2
0.17,523.4
0.175,530.3
0.18,525.4
0.185,525.1
0.19,520.9
0.195,522.0
0.2,524.1
0.205,520.4
0.21,544.1
0.215,562.0
0.22,537.8
0.225,647.5
0.23,531.7
0.235,517.5
0.24,522.5
0.245,548.0
0.25,526.5
