0.005,348.3
0.01,333.9
0.015,332.1
0.02,330.9
0.025,336.0
0.03,340.8
0.035,327.4
0.04,322.5
0.045,325.3
0.05,367.0
0.055,577.0
0.06,339.3
0.065,352.9
0.07,361.0
0.075,328.9
0.08,339.7
0.085,356.2
0.09,327.2
0.095,337.3
0.1,363.4
0.105,387.5
0.11,389.4
0.115,374.3
0.12,375.7
0.125,373.3
0.13,366.7
0.135,365.0
0.14,383.9
0.145,386.5
0.15,380.3
0.155,392.7
0.16,372.3
0.165,360.5
0.17,367.8
0.175,338.4
0.18,312.3
0.185,321.6
0.19,335.4
0.195,331.6
0.2,322.5
0.205,327.4
0.21,331.7
0.215,342.3
0.22,331.5
0.225,312.6
0.23,325.1
0.235,327.7
0.24,327.3
0.245,328.9
0.25,330.9
